Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	 99173.55	   826.45	 99173.55
11	 98353.94	  1646.06	197527.49
10	 97541.10	  2458.90	295068.59
9	 96734.97	  3265.03	391803.56
8	 95935.51	  4064.49	487739.06
7	 95142.65	  4857.35	582881.72
6	 94356.35	  5643.65	677238.07
5	 93576.54	  6423.46	770814.61
4	 92803.19	  7196.81	863617.80
3	 92036.22	  7963.78	955654.01
2	 91275.59	  8724.41	1046929.60
1	 90521.24	  9478.76	1137450.84
