Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	   512.31	    42.69	   512.31
11	   472.90	    82.10	   985.21
10	   436.52	   118.48	  1421.73
9	   402.94	   152.06	  1824.67
8	   371.95	   183.05	  2196.62
7	   343.34	   211.66	  2539.96
6	   316.93	   238.07	  2856.88
5	   292.55	   262.45	  3149.43
4	   270.04	   284.96	  3419.48
3	   249.27	   305.73	  3668.75
2	   230.10	   324.90	  3898.84
1	   212.40	   342.60	  4111.24
