Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	 92307.69	  7692.31	 92307.69
11	 85207.10	 14792.90	177514.79
10	 78652.71	 21347.29	256167.50
9	 72602.50	 27397.50	328770.00
8	 67017.69	 32982.31	395787.69
7	 61862.49	 38137.51	457650.18
6	 57103.83	 42896.17	514754.01
5	 52711.23	 47288.77	567465.24
4	 48656.52	 51343.48	616121.76
3	 44913.71	 55086.29	661035.47
2	 41458.81	 58541.19	702494.28
1	 38269.67	 61730.33	740763.95
