Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	100000.00	     0.00	100000.00
11	100000.00	     0.00	200000.00
10	100000.00	     0.00	300000.00
9	100000.00	     0.00	400000.00
8	100000.00	     0.00	500000.00
7	100000.00	     0.00	600000.00
6	100000.00	     0.00	700000.00
5	100000.00	     0.00	800000.00
4	100000.00	     0.00	900000.00
3	100000.00	     0.00	1000000.00
2	100000.00	     0.00	1100000.00
1	100000.00	     0.00	1200000.00
