Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	   100.00	     0.00	   100.00
23	   100.00	     0.00	   200.00
22	   100.00	     0.00	   300.00
21	   100.00	     0.00	   400.00
20	   100.00	     0.00	   500.00
19	   100.00	     0.00	   600.00
18	   100.00	     0.00	   700.00
17	   100.00	     0.00	   800.00
16	   100.00	     0.00	   900.00
15	   100.00	     0.00	  1000.00
14	   100.00	     0.00	  1100.00
13	   100.00	     0.00	  1200.00
12	   100.00	     0.00	  1300.00
11	   100.00	     0.00	  1400.00
10	   100.00	     0.00	  1500.00
9	   100.00	     0.00	  1600.00
8	   100.00	     0.00	  1700.00
7	   100.00	     0.00	  1800.00
6	   100.00	     0.00	  1900.00
5	   100.00	     0.00	  2000.00
4	   100.00	     0.00	  2100.00
3	   100.00	     0.00	  2200.00
2	   100.00	     0.00	  2300.00
1	   100.00	     0.00	  2400.00
