Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	     0.92	     0.08	     0.92
11	     0.85	     0.15	     1.78
10	     0.79	     0.21	     2.56
9	     0.73	     0.27	     3.29
8	     0.67	     0.33	     3.96
7	     0.62	     0.38	     4.58
6	     0.57	     0.43	     5.15
5	     0.53	     0.47	     5.67
4	     0.49	     0.51	     6.16
3	     0.45	     0.55	     6.61
2	     0.41	     0.59	     7.02
1	     0.38	     0.62	     7.41
