Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
1200	 92307.69	  7692.31	 92307.69
1199	 85207.10	 14792.90	177514.79
1198	 78652.71	 21347.29	256167.50
1197	 72602.50	 27397.50	328770.00
1196	 67017.69	 32982.31	395787.69
1195	 61862.49	 38137.51	457650.18
1194	 57103.83	 42896.17	514754.01
1193	 52711.23	 47288.77	567465.24
1192	 48656.52	 51343.48	616121.76
1191	 44913.71	 55086.29	661035.47
1190	 41458.81	 58541.19	702494.28
1189	 38269.67	 61730.33	740763.95
1188	 35325.85	 64674.15	776089.80
1187	 32608.48	 67391.52	808698.28
1186	 30100.13	 69899.87	838798.41
1185	 27784.74	 72215.26	866583.15
1184	 25647.45	 74352.55	892230.60
1183	 23674.57	 76325.43	915905.17
1182	 21853.45	 78146.55	937758.62
1181	 20172.41	 79827.59	957931.03
1180	 18620.69	 81379.31	976551.72
1179	 17188.33	 82811.67	993740.05
1178	 15866.15	 84133.85	1009606.20
1177	 14645.68	 85354.32	1024251.88
1176	 13519.09	 86480.91	1037770.96
1175	 12479.16	 87520.84	1050250.12
1174	 11519.22	 88480.78	1061769.34
1173	 10633.13	 89366.87	1072402.47
1172	  9815.19	 90184.81	1082217.66
1171	  9060.18	 90939.82	1091277.84
1170	  8363.24	 91636.76	1099641.09
1169	  7719.92	 92280.08	1107361.00
1168	  7126.08	 92873.92	1114487.08
1167	  6577.92	 93422.08	1121065.00
1166	  6071.92	 93928.08	1127136.92
1165	  5604.85	 94395.15	1132741.77
1164	  5173.71	 94826.29	1137915.48
1163	  4775.73	 95224.27	1142691.21
1162	  4408.37	 95591.63	1147099.58
1161	  4069.26	 95930.74	1151168.85
1160	  3756.24	 96243.76	1154925.09
1159	  3467.30	 96532.70	1158392.39
1158	  3200.59	 96799.41	1161592.97
1157	  2954.39	 97045.61	1164547.36
1156	  2727.13	 97272.87	1167274.49
1155	  2517.35	 97482.65	1169791.83
1154	  2323.71	 97676.29	1172115.54
1153	  2144.96	 97855.04	1174260.50
1152	  1979.96	 98020.04	1176240.46
1151	  1827.66	 98172.34	1178068.12
1150	  1687.07	 98312.93	1179755.18
1149	  1557.29	 98442.71	1181312.48
1148	  1437.50	 98562.50	1182749.98
1147	  1326.92	 98673.08	1184076.90
1146	  1224.85	 98775.15	1185301.76
1145	  1130.63	 98869.37	1186432.39
1144	  1043.66	 98956.34	1187476.05
1143	   963.38	 99036.62	1188439.43
1142	   889.27	 99110.73	1189328.71
1141	   820.87	 99179.13	1190149.58
1140	   757.72	 99242.28	1190907.30
1139	   699.44	 99300.56	1191606.74
1138	   645.64	 99354.36	1192252.38
1137	   595.97	 99404.03	1192848.35
1136	   550.13	 99449.87	1193398.47
1135	   507.81	 99492.19	1193906.28
1134	   468.75	 99531.25	1194375.03
1133	   432.69	 99567.31	1194807.72
1132	   399.41	 99600.59	1195207.13
1131	   368.68	 99631.32	1195575.81
1130	   340.32	 99659.68	1195916.13
1129	   314.14	 99685.86	1196230.28
1128	   289.98	 99710.02	1196520.25
1127	   267.67	 99732.33	1196787.93
1126	   247.08	 99752.92	1197035.01
1125	   228.08	 99771.92	1197263.09
