Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
660	   553.36	     1.64	   553.36
659	   551.73	     3.27	  1105.09
658	   550.10	     4.90	  1655.20
657	   548.48	     6.52	  2203.68
656	   546.86	     8.14	  2750.54
655	   545.25	     9.75	  3295.79
654	   543.64	    11.36	  3839.43
653	   542.04	    12.96	  4381.47
652	   540.44	    14.56	  4921.91
651	   538.85	    16.15	  5460.76
650	   537.26	    17.74	  5998.01
649	   535.67	    19.33	  6533.68
648	   534.09	    20.91	  7067.77
647	   532.52	    22.48	  7600.29
646	   530.95	    24.05	  8131.23
645	   529.38	    25.62	  8660.61
644	   527.82	    27.18	  9188.43
643	   526.26	    28.74	  9714.69
642	   524.71	    30.29	 10239.40
641	   523.16	    31.84	 10762.56
640	   521.62	    33.38	 11284.18
639	   520.08	    34.92	 11804.26
638	   518.55	    36.45	 12322.80
637	   517.02	    37.98	 12839.82
636	   515.49	    39.51	 13355.31
635	   513.97	    41.03	 13869.28
634	   512.45	    42.55	 14381.73
633	   510.94	    44.06	 14892.68
632	   509.44	    45.56	 15402.11
631	   507.93	    47.07	 15910.04
630	   506.43	    48.57	 16416.48
629	   504.94	    50.06	 16921.42
628	   503.45	    51.55	 17424.87
627	   501.97	    53.03	 17926.84
626	   500.49	    54.51	 18427.32
625	   499.01	    55.99	 18926.33
624	   497.54	    57.46	 19423.87
623	   496.07	    58.93	 19919.94
622	   494.61	    60.39	 20414.55
621	   493.15	    61.85	 20907.70
620	   491.69	    63.31	 21399.39
619	   490.24	    64.76	 21889.63
618	   488.80	    66.20	 22378.43
617	   487.36	    67.64	 22865.78
616	   485.92	    69.08	 23351.70
615	   484.48	    70.52	 23836.19
614	   483.06	    71.94	 24319.24
613	   481.63	    73.37	 24800.87
612	   480.21	    74.79	 25281.08
611	   478.79	    76.21	 25759.88
610	   477.38	    77.62	 26237.26
609	   475.97	    79.03	 26713.23
608	   474.57	    80.43	 27187.80
607	   473.17	    81.83	 27660.97
606	   471.77	    83.23	 28132.74
605	   470.38	    84.62	 28603.13
604	   468.99	    86.01	 29072.12
603	   467.61	    87.39	 29539.73
602	   466.23	    88.77	 30005.97
601	   464.86	    90.14	 30470.82
600	   463.49	    91.51	 30934.31
599	   462.12	    92.88	 31396.43
598	   460.76	    94.24	 31857.18
597	   459.40	    95.60	 32316.58
596	   458.04	    96.96	 32774.62
595	   456.69	    98.31	 33231.31
594	   455.34	    99.66	 33686.66
593	   454.00	   101.00	 34140.66
592	   452.66	   102.34	 34593.32
591	   451.33	   103.67	 35044.65
590	   450.00	   105.00	 35494.64
589	   448.67	   106.33	 35943.31
588	   447.34	   107.66	 36390.65
587	   446.02	   108.98	 36836.68
586	   444.71	   110.29	 37281.39
585	   443.40	   111.60	 37724.78
584	   442.09	   112.91	 38166.87
583	   440.79	   114.21	 38607.66
582	   439.49	   115.51	 39047.14
581	   438.19	   116.81	 39485.33
580	   436.90	   118.10	 39922.23
579	   435.61	   119.39	 40357.84
578	   434.32	   120.68	 40792.16
577	   433.04	   121.96	 41225.20
576	   431.76	   123.24	 41656.97
575	   430.49	   124.51	 42087.46
574	   429.22	   125.78	 42516.68
573	   427.96	   127.04	 42944.64
572	   426.69	   128.31	 43371.33
571	   425.43	   129.57	 43796.76
570	   424.18	   130.82	 44220.94
569	   422.93	   132.07	 44643.87
568	   421.68	   133.32	 45065.55
567	   420.44	   134.56	 45485.99
566	   419.20	   135.80	 45905.19
565	   417.96	   137.04	 46323.15
564	   416.73	   138.27	 46739.88
563	   415.50	   139.50	 47155.38
562	   414.27	   140.73	 47569.65
561	   413.05	   141.95	 47982.70
560	   411.83	   143.17	 48394.53
559	   410.62	   144.38	 48805.15
558	   409.41	   145.59	 49214.56
557	   408.20	   146.80	 49622.76
556	   407.00	   148.00	 50029.75
555	   405.79	   149.21	 50435.55
554	   404.60	   150.40	 50840.15
553	   403.40	   151.60	 51243.55
552	   402.21	   152.79	 51645.76
551	   401.03	   153.97	 52046.79
550	   399.85	   155.15	 52446.64
549	   398.67	   156.33	 52845.30
548	   397.49	   157.51	 53242.79
547	   396.32	   158.68	 53639.11
546	   395.15	   159.85	 54034.26
545	   393.98	   161.02	 54428.24
544	   392.82	   162.18	 54821.06
543	   391.66	   163.34	 55212.73
542	   390.51	   164.49	 55603.23
541	   389.36	   165.64	 55992.59
540	   388.21	   166.79	 56380.80
539	   387.06	   167.94	 56767.86
538	   385.92	   169.08	 57153.78
537	   384.78	   170.22	 57538.56
536	   383.65	   171.35	 57922.21
535	   382.52	   172.48	 58304.72
534	   381.39	   173.61	 58686.11
533	   380.26	   174.74	 59066.37
532	   379.14	   175.86	 59445.51
531	   378.02	   176.98	 59823.53
530	   376.91	   178.09	 60200.44
529	   375.80	   179.20	 60576.24
528	   374.69	   180.31	 60950.92
527	   373.58	   181.42	 61324.50
526	   372.48	   182.52	 61696.98
525	   371.38	   183.62	 62068.36
524	   370.29	   184.71	 62438.65
523	   369.19	   185.81	 62807.84
522	   368.10	   186.90	 63175.95
521	   367.02	   187.98	 63542.97
520	   365.94	   189.06	 63908.90
519	   364.86	   190.14	 64273.76
518	   363.78	   191.22	 64637.54
517	   362.71	   192.29	 65000.25
516	   361.64	   193.36	 65361.89
515	   360.57	   194.43	 65722.46
514	   359.51	   195.49	 66081.96
513	   358.45	   196.55	 66440.41
512	   357.39	   197.61	 66797.80
511	   356.34	   198.66	 67154.14
510	   355.28	   199.72	 67509.42
509	   354.24	   200.76	 67863.66
508	   353.19	   201.81	 68216.85
507	   352.15	   202.85	 68569.00
506	   351.11	   203.89	 68920.11
505	   350.08	   204.92	 69270.19
504	   349.04	   205.96	 69619.23
503	   348.01	   206.99	 69967.24
502	   346.99	   208.01	 70314.23
501	   345.96	   209.04	 70660.19
500	   344.94	   210.06	 71005.14
499	   343.93	   211.07	 71349.06
498	   342.91	   212.09	 71691.97
497	   341.90	   213.10	 72033.87
496	   340.89	   214.11	 72374.77
495	   339.89	   215.11	 72714.65
494	   338.88	   216.12	 73053.53
493	   337.88	   217.12	 73391.42
492	   336.89	   218.11	 73728.31
491	   335.89	   219.11	 74064.20
490	   334.90	   220.10	 74399.10
489	   333.91	   221.09	 74733.02
488	   332.93	   222.07	 75065.95
487	   331.95	   223.05	 75397.89
486	   330.97	   224.03	 75728.86
485	   329.99	   225.01	 76058.86
484	   329.02	   225.98	 76387.87
483	   328.05	   226.95	 76715.92
482	   327.08	   227.92	 77043.00
481	   326.12	   228.88	 77369.12
480	   325.15	   229.85	 77694.28
479	   324.20	   230.80	 78018.47
478	   323.24	   231.76	 78341.71
477	   322.29	   232.71	 78664.00
476	   321.34	   233.66	 78985.33
475	   320.39	   234.61	 79305.72
474	   319.44	   235.56	 79625.16
473	   318.50	   236.50	 79943.66
472	   317.56	   237.44	 80261.22
471	   316.62	   238.38	 80577.84
470	   315.69	   239.31	 80893.53
469	   314.76	   240.24	 81208.29
468	   313.83	   241.17	 81522.12
467	   312.90	   242.10	 81835.03
466	   311.98	   243.02	 82147.01
465	   311.06	   243.94	 82458.07
