Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	 96000.00	  4000.00	 96000.00
23	 92160.00	  7840.00	188160.00
22	 88473.60	 11526.40	276633.60
21	 84934.66	 15065.34	361568.26
20	 81537.27	 18462.73	443105.53
19	 78275.78	 21724.22	521381.30
18	 75144.75	 24855.25	596526.05
17	 72138.96	 27861.04	668665.01
16	 69253.40	 30746.60	737918.41
15	 66483.26	 33516.74	804401.67
14	 63823.93	 36176.07	868225.61
13	 61270.98	 38729.02	929496.58
12	 58820.14	 41179.86	988316.72
11	 56467.33	 43532.67	1044784.05
10	 54208.64	 45791.36	1098992.69
9	 52040.29	 47959.71	1151032.98
8	 49958.68	 50041.32	1200991.66
7	 47960.33	 52039.67	1248952.00
6	 46041.92	 53958.08	1294993.92
5	 44200.24	 55799.76	1339194.16
4	 42432.23	 57567.77	1381626.39
3	 40734.94	 59265.06	1422361.34
2	 39105.55	 60894.45	1461466.88
1	 37541.32	 62458.68	1499008.21
