Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	     0.96	     0.04	     0.96
23	     0.92	     0.08	     1.88
22	     0.88	     0.12	     2.77
21	     0.85	     0.15	     3.62
20	     0.82	     0.18	     4.43
19	     0.78	     0.22	     5.21
18	     0.75	     0.25	     5.97
17	     0.72	     0.28	     6.69
16	     0.69	     0.31	     7.38
15	     0.66	     0.34	     8.04
14	     0.64	     0.36	     8.68
13	     0.61	     0.39	     9.29
12	     0.59	     0.41	     9.88
11	     0.56	     0.44	    10.45
10	     0.54	     0.46	    10.99
9	     0.52	     0.48	    11.51
8	     0.50	     0.50	    12.01
7	     0.48	     0.52	    12.49
6	     0.46	     0.54	    12.95
5	     0.44	     0.56	    13.39
4	     0.42	     0.58	    13.82
3	     0.41	     0.59	    14.22
2	     0.39	     0.61	    14.61
1	     0.38	     0.62	    14.99
