Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	   555.00	     0.00	   555.00
11	   555.00	     0.00	  1110.00
10	   555.00	     0.00	  1665.00
9	   555.00	     0.00	  2220.00
8	   555.00	     0.00	  2775.00
7	   555.00	     0.00	  3330.00
6	   555.00	     0.00	  3885.00
5	   555.00	     0.00	  4440.00
4	   555.00	     0.00	  4995.00
3	   555.00	     0.00	  5550.00
2	   555.00	     0.00	  6105.00
1	   555.00	     0.00	  6660.00
