Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
1200	   512.31	    42.69	   512.31
1199	   472.90	    82.10	   985.21
1198	   436.52	   118.48	  1421.73
1197	   402.94	   152.06	  1824.67
1196	   371.95	   183.05	  2196.62
1195	   343.34	   211.66	  2539.96
1194	   316.93	   238.07	  2856.88
1193	   292.55	   262.45	  3149.43
1192	   270.04	   284.96	  3419.48
1191	   249.27	   305.73	  3668.75
1190	   230.10	   324.90	  3898.84
1189	   212.40	   342.60	  4111.24
1188	   196.06	   358.94	  4307.30
1187	   180.98	   374.02	  4488.28
1186	   167.06	   387.94	  4655.33
1185	   154.21	   400.79	  4809.54
1184	   142.34	   412.66	  4951.88
1183	   131.39	   423.61	  5083.27
1182	   121.29	   433.71	  5204.56
1181	   111.96	   443.04	  5316.52
1180	   103.34	   451.66	  5419.86
1179	    95.40	   459.60	  5515.26
1178	    88.06	   466.94	  5603.31
1177	    81.28	   473.72	  5684.60
1176	    75.03	   479.97	  5759.63
1175	    69.26	   485.74	  5828.89
1174	    63.93	   491.07	  5892.82
1173	    59.01	   495.99	  5951.83
1172	    54.47	   500.53	  6006.31
1171	    50.28	   504.72	  6056.59
1170	    46.42	   508.58	  6103.01
1169	    42.85	   512.15	  6145.85
1168	    39.55	   515.45	  6185.40
1167	    36.51	   518.49	  6221.91
1166	    33.70	   521.30	  6255.61
1165	    31.11	   523.89	  6286.72
1164	    28.71	   526.29	  6315.43
1163	    26.51	   528.49	  6341.94
1162	    24.47	   530.53	  6366.40
1161	    22.58	   532.42	  6388.99
1160	    20.85	   534.15	  6409.83
1159	    19.24	   535.76	  6429.08
1158	    17.76	   537.24	  6446.84
1157	    16.40	   538.60	  6463.24
1156	    15.14	   539.86	  6478.37
1155	    13.97	   541.03	  6492.34
1154	    12.90	   542.10	  6505.24
1153	    11.90	   543.10	  6517.15
1152	    10.99	   544.01	  6528.13
1151	    10.14	   544.86	  6538.28
1150	     9.36	   545.64	  6547.64
1149	     8.64	   546.36	  6556.28
1148	     7.98	   547.02	  6564.26
1147	     7.36	   547.64	  6571.63
1146	     6.80	   548.20	  6578.42
1145	     6.28	   548.72	  6584.70
1144	     5.79	   549.21	  6590.49
1143	     5.35	   549.65	  6595.84
1142	     4.94	   550.06	  6600.77
1141	     4.56	   550.44	  6605.33
1140	     4.21	   550.79	  6609.54
1139	     3.88	   551.12	  6613.42
1138	     3.58	   551.42	  6617.00
1137	     3.31	   551.69	  6620.31
1136	     3.05	   551.95	  6623.36
1135	     2.82	   552.18	  6626.18
1134	     2.60	   552.40	  6628.78
1133	     2.40	   552.60	  6631.18
1132	     2.22	   552.78	  6633.40
1131	     2.05	   552.95	  6635.45
1130	     1.89	   553.11	  6637.33
1129	     1.74	   553.26	  6639.08
1128	     1.61	   553.39	  6640.69
1127	     1.49	   553.51	  6642.17
1126	     1.37	   553.63	  6643.54
1125	     1.27	   553.73	  6644.81
1124	     1.17	   553.83	  6645.98
1123	     1.08	   553.92	  6647.06
1122	     1.00	   554.00	  6648.05
1121	     0.92	   554.08	  6648.97
1120	     0.85	   554.15	  6649.82
1119	     0.78	   554.22	  6650.60
1118	     0.72	   554.28	  6651.33
1117	     0.67	   554.33	  6651.99
1116	     0.62	   554.38	  6652.61
1115	     0.57	   554.43	  6653.18
1114	     0.52	   554.48	  6653.70
1113	     0.48	   554.52	  6654.19
1112	     0.45	   554.55	  6654.63
1111	     0.41	   554.59	  6655.05
1110	     0.38	   554.62	  6655.43
1109	     0.35	   554.65	  6655.78
1108	     0.32	   554.68	  6656.10
1107	     0.30	   554.70	  6656.40
1106	     0.28	   554.72	  6656.68
1105	     0.26	   554.74	  6656.94
1104	     0.24	   554.76	  6657.17
1103	     0.22	   554.78	  6657.39
1102	     0.20	   554.80	  6657.59
1101	     0.19	   554.81	  6657.78
1100	     0.17	   554.83	  6657.95
1099	     0.16	   554.84	  6658.10
1098	     0.15	   554.85	  6658.25
1097	     0.13	   554.87	  6658.38
1096	     0.12	   554.88	  6658.51
1095	     0.11	   554.89	  6658.62
1094	     0.11	   554.89	  6658.73
1093	     0.10	   554.90	  6658.83
1092	     0.09	   554.91	  6658.92
1091	     0.08	   554.92	  6659.00
1090	     0.08	   554.92	  6659.08
1089	     0.07	   554.93	  6659.15
1088	     0.07	   554.93	  6659.21
1087	     0.06	   554.94	  6659.27
1086	     0.06	   554.94	  6659.33
1085	     0.05	   554.95	  6659.38
1084	     0.05	   554.95	  6659.43
1083	     0.04	   554.96	  6659.47
1082	     0.04	   554.96	  6659.51
1081	     0.04	   554.96	  6659.55
1080	     0.03	   554.97	  6659.59
1079	     0.03	   554.97	  6659.62
1078	     0.03	   554.97	  6659.65
1077	     0.03	   554.97	  6659.67
1076	     0.03	   554.97	  6659.70
1075	     0.02	   554.98	  6659.72
1074	     0.02	   554.98	  6659.74
1073	     0.02	   554.98	  6659.76
1072	     0.02	   554.98	  6659.78
1071	     0.02	   554.98	  6659.80
1070	     0.02	   554.98	  6659.81
1069	     0.01	   554.99	  6659.83
1068	     0.01	   554.99	  6659.84
1067	     0.01	   554.99	  6659.85
1066	     0.01	   554.99	  6659.86
1065	     0.01	   554.99	  6659.88
1064	     0.01	   554.99	  6659.88
1063	     0.01	   554.99	  6659.89
1062	     0.01	   554.99	  6659.90
1061	     0.01	   554.99	  6659.91
1060	     0.01	   554.99	  6659.92
1059	     0.01	   554.99	  6659.92
1058	     0.01	   554.99	  6659.93
1057	     0.01	   554.99	  6659.93
1056	     0.01	   554.99	  6659.94
1055	     0.00	   555.00	  6659.94
1054	     0.00	   555.00	  6659.95
1053	     0.00	   555.00	  6659.95
1052	     0.00	   555.00	  6659.96
1051	     0.00	   555.00	  6659.96
1050	     0.00	   555.00	  6659.96
1049	     0.00	   555.00	  6659.97
1048	     0.00	   555.00	  6659.97
1047	     0.00	   555.00	  6659.97
1046	     0.00	   555.00	  6659.97
1045	     0.00	   555.00	  6659.97
1044	     0.00	   555.00	  6659.98
1043	     0.00	   555.00	  6659.98
1042	     0.00	   555.00	  6659.98
1041	     0.00	   555.00	  6659.98
1040	     0.00	   555.00	  6659.98
1039	     0.00	   555.00	  6659.98
1038	     0.00	   555.00	  6659.99
1037	     0.00	   555.00	  6659.99
1036	     0.00	   555.00	  6659.99
1035	     0.00	   555.00	  6659.99
1034	     0.00	   555.00	  6659.99
1033	     0.00	   555.00	  6659.99
1032	     0.00	   555.00	  6659.99
1031	     0.00	   555.00	  6659.99
1030	     0.00	   555.00	  6659.99
1029	     0.00	   555.00	  6659.99
1028	     0.00	   555.00	  6659.99
1027	     0.00	   555.00	  6659.99
1026	     0.00	   555.00	  6659.99
1025	     0.00	   555.00	  6659.99
1024	     0.00	   555.00	  6660.00
1023	     0.00	   555.00	  6660.00
1022	     0.00	   555.00	  6660.00
1021	     0.00	   555.00	  6660.00
1020	     0.00	   555.00	  6660.00
1019	     0.00	   555.00	  6660.00
1018	     0.00	   555.00	  6660.00
1017	     0.00	   555.00	  6660.00
1016	     0.00	   555.00	  6660.00
1015	     0.00	   555.00	  6660.00
1014	     0.00	   555.00	  6660.00
1013	     0.00	   555.00	  6660.00
1012	     0.00	   555.00	  6660.00
1011	     0.00	   555.00	  6660.00
1010	     0.00	   555.00	  6660.00
1009	     0.00	   555.00	  6660.00
1008	     0.00	   555.00	  6660.00
1007	     0.00	   555.00	  6660.00
1006	     0.00	   555.00	  6660.00
1005	     0.00	   555.00	  6660.00
1004	     0.00	   555.00	  6660.00
1003	     0.00	   555.00	  6660.00
1002	     0.00	   555.00	  6660.00
1001	     0.00	   555.00	  6660.00
1000	     0.00	   555.00	  6660.00
999	     0.00	   555.00	  6660.00
998	     0.00	   555.00	  6660.00
997	     0.00	   555.00	  6660.00
996	     0.00	   555.00	  6660.00
995	     0.00	   555.00	  6660.00
994	     0.00	   555.00	  6660.00
993	     0.00	   555.00	  6660.00
992	     0.00	   555.00	  6660.00
991	     0.00	   555.00	  6660.00
990	     0.00	   555.00	  6660.00
989	     0.00	   555.00	  6660.00
988	     0.00	   555.00	  6660.00
987	     0.00	   555.00	  6660.00
986	     0.00	   555.00	  6660.00
985	     0.00	   555.00	  6660.00
984	     0.00	   555.00	  6660.00
983	     0.00	   555.00	  6660.00
982	     0.00	   555.00	  6660.00
981	     0.00	   555.00	  6660.00
980	     0.00	   555.00	  6660.00
979	     0.00	   555.00	  6660.00
978	     0.00	   555.00	  6660.00
977	     0.00	   555.00	  6660.00
976	     0.00	   555.00	  6660.00
975	     0.00	   555.00	  6660.00
974	     0.00	   555.00	  6660.00
973	     0.00	   555.00	  6660.00
972	     0.00	   555.00	  6660.00
971	     0.00	   555.00	  6660.00
970	     0.00	   555.00	  6660.00
969	     0.00	   555.00	  6660.00
968	     0.00	   555.00	  6660.00
967	     0.00	   555.00	  6660.00
966	     0.00	   555.00	  6660.00
965	     0.00	   555.00	  6660.00
964	     0.00	   555.00	  6660.00
963	     0.00	   555.00	  6660.00
962	     0.00	   555.00	  6660.00
961	     0.00	   555.00	  6660.00
960	     0.00	   555.00	  6660.00
959	     0.00	   555.00	  6660.00
958	     0.00	   555.00	  6660.00
957	     0.00	   555.00	  6660.00
956	     0.00	   555.00	  6660.00
955	     0.00	   555.00	  6660.00
954	     0.00	   555.00	  6660.00
953	     0.00	   555.00	  6660.00
952	     0.00	   555.00	  6660.00
951	     0.00	   555.00	  6660.00
950	     0.00	   555.00	  6660.00
949	     0.00	   555.00	  6660.00
948	     0.00	   555.00	  6660.00
947	     0.00	   555.00	  6660.00
946	     0.00	   555.00	  6660.00
945	     0.00	   555.00	  6660.00
944	     0.00	   555.00	  6660.00
943	     0.00	   555.00	  6660.00
942	     0.00	   555.00	  6660.00
941	     0.00	   555.00	  6660.00
940	     0.00	   555.00	  6660.00
939	     0.00	   555.00	  6660.00
938	     0.00	   555.00	  6660.00
937	     0.00	   555.00	  6660.00
936	     0.00	   555.00	  6660.00
935	     0.00	   555.00	  6660.00
934	     0.00	   555.00	  6660.00
933	     0.00	   555.00	  6660.00
932	     0.00	   555.00	  6660.00
931	     0.00	   555.00	  6660.00
930	     0.00	   555.00	  6660.00
929	     0.00	   555.00	  6660.00
928	     0.00	   555.00	  6660.00
927	     0.00	   555.00	  6660.00
926	     0.00	   555.00	  6660.00
925	     0.00	   555.00	  6660.00
924	     0.00	   555.00	  6660.00
923	     0.00	   555.00	  6660.00
922	     0.00	   555.00	  6660.00
921	     0.00	   555.00	  6660.00
920	     0.00	   555.00	  6660.00
919	     0.00	   555.00	  6660.00
918	     0.00	   555.00	  6660.00
917	     0.00	   555.00	  6660.00
916	     0.00	   555.00	  6660.00
915	     0.00	   555.00	  6660.00
914	     0.00	   555.00	  6660.00
913	     0.00	   555.00	  6660.00
912	     0.00	   555.00	  6660.00
911	     0.00	   555.00	  6660.00
910	     0.00	   555.00	  6660.00
909	     0.00	   555.00	  6660.00
908	     0.00	   555.00	  6660.00
907	     0.00	   555.00	  6660.00
906	     0.00	   555.00	  6660.00
905	     0.00	   555.00	  6660.00
904	     0.00	   555.00	  6660.00
903	     0.00	   555.00	  6660.00
902	     0.00	   555.00	  6660.00
901	     0.00	   555.00	  6660.00
900	     0.00	   555.00	  6660.00
899	     0.00	   555.00	  6660.00
898	     0.00	   555.00	  6660.00
897	     0.00	   555.00	  6660.00
896	     0.00	   555.00	  6660.00
895	     0.00	   555.00	  6660.00
894	     0.00	   555.00	  6660.00
893	     0.00	   555.00	  6660.00
892	     0.00	   555.00	  6660.00
891	     0.00	   555.00	  6660.00
890	     0.00	   555.00	  6660.00
889	     0.00	   555.00	  6660.00
888	     0.00	   555.00	  6660.00
887	     0.00	   555.00	  6660.00
886	     0.00	   555.00	  6660.00
885	     0.00	   555.00	  6660.00
884	     0.00	   555.00	  6660.00
883	     0.00	   555.00	  6660.00
882	     0.00	   555.00	  6660.00
881	     0.00	   555.00	  6660.00
880	     0.00	   555.00	  6660.00
879	     0.00	   555.00	  6660.00
878	     0.00	   555.00	  6660.00
877	     0.00	   555.00	  6660.00
876	     0.00	   555.00	  6660.00
875	     0.00	   555.00	  6660.00
874	     0.00	   555.00	  6660.00
873	     0.00	   555.00	  6660.00
872	     0.00	   555.00	  6660.00
871	     0.00	   555.00	  6660.00
870	     0.00	   555.00	  6660.00
869	     0.00	   555.00	  6660.00
868	     0.00	   555.00	  6660.00
867	     0.00	   555.00	  6660.00
866	     0.00	   555.00	  6660.00
865	     0.00	   555.00	  6660.00
864	     0.00	   555.00	  6660.00
863	     0.00	   555.00	  6660.00
862	     0.00	   555.00	  6660.00
861	     0.00	   555.00	  6660.00
860	     0.00	   555.00	  6660.00
859	     0.00	   555.00	  6660.00
858	     0.00	   555.00	  6660.00
857	     0.00	   555.00	  6660.00
856	     0.00	   555.00	  6660.00
855	     0.00	   555.00	  6660.00
854	     0.00	   555.00	  6660.00
853	     0.00	   555.00	  6660.00
852	     0.00	   555.00	  6660.00
851	     0.00	   555.00	  6660.00
850	     0.00	   555.00	  6660.00
849	     0.00	   555.00	  6660.00
848	     0.00	   555.00	  6660.00
847	     0.00	   555.00	  6660.00
846	     0.00	   555.00	  6660.00
845	     0.00	   555.00	  6660.00
844	     0.00	   555.00	  6660.00
843	     0.00	   555.00	  6660.00
842	     0.00	   555.00	  6660.00
841	     0.00	   555.00	  6660.00
840	     0.00	   555.00	  6660.00
839	     0.00	   555.00	  6660.00
838	     0.00	   555.00	  6660.00
837	     0.00	   555.00	  6660.00
836	     0.00	   555.00	  6660.00
835	     0.00	   555.00	  6660.00
834	     0.00	   555.00	  6660.00
833	     0.00	   555.00	  6660.00
832	     0.00	   555.00	  6660.00
831	     0.00	   555.00	  6660.00
830	     0.00	   555.00	  6660.00
829	     0.00	   555.00	  6660.00
828	     0.00	   555.00	  6660.00
827	     0.00	   555.00	  6660.00
826	     0.00	   555.00	  6660.00
825	     0.00	   555.00	  6660.00
824	     0.00	   555.00	  6660.00
823	     0.00	   555.00	  6660.00
822	     0.00	   555.00	  6660.00
821	     0.00	   555.00	  6660.00
820	     0.00	   555.00	  6660.00
819	     0.00	   555.00	  6660.00
818	     0.00	   555.00	  6660.00
817	     0.00	   555.00	  6660.00
816	     0.00	   555.00	  6660.00
815	     0.00	   555.00	  6660.00
814	     0.00	   555.00	  6660.00
813	     0.00	   555.00	  6660.00
812	     0.00	   555.00	  6660.00
811	     0.00	   555.00	  6660.00
810	     0.00	   555.00	  6660.00
809	     0.00	   555.00	  6660.00
808	     0.00	   555.00	  6660.00
807	     0.00	   555.00	  6660.00
806	     0.00	   555.00	  6660.00
805	     0.00	   555.00	  6660.00
804	     0.00	   555.00	  6660.00
803	     0.00	   555.00	  6660.00
802	     0.00	   555.00	  6660.00
801	     0.00	   555.00	  6660.00
800	     0.00	   555.00	  6660.00
799	     0.00	   555.00	  6660.00
798	     0.00	   555.00	  6660.00
797	     0.00	   555.00	  6660.00
796	     0.00	   555.00	  6660.00
795	     0.00	   555.00	  6660.00
794	     0.00	   555.00	  6660.00
793	     0.00	   555.00	  6660.00
792	     0.00	   555.00	  6660.00
791	     0.00	   555.00	  6660.00
790	     0.00	   555.00	  6660.00
789	     0.00	   555.00	  6660.00
788	     0.00	   555.00	  6660.00
787	     0.00	   555.00	  6660.00
786	     0.00	   555.00	  6660.00
785	     0.00	   555.00	  6660.00
784	     0.00	   555.00	  6660.00
783	     0.00	   555.00	  6660.00
782	     0.00	   555.00	  6660.00
781	     0.00	   555.00	  6660.00
780	     0.00	   555.00	  6660.00
779	     0.00	   555.00	  6660.00
778	     0.00	   555.00	  6660.00
777	     0.00	   555.00	  6660.00
776	     0.00	   555.00	  6660.00
775	     0.00	   555.00	  6660.00
774	     0.00	   555.00	  6660.00
773	     0.00	   555.00	  6660.00
772	     0.00	   555.00	  6660.00
771	     0.00	   555.00	  6660.00
770	     0.00	   555.00	  6660.00
769	     0.00	   555.00	  6660.00
768	     0.00	   555.00	  6660.00
767	     0.00	   555.00	  6660.00
766	     0.00	   555.00	  6660.00
765	     0.00	   555.00	  6660.00
764	     0.00	   555.00	  6660.00
763	     0.00	   555.00	  6660.00
762	     0.00	   555.00	  6660.00
761	     0.00	   555.00	  6660.00
760	     0.00	   555.00	  6660.00
759	     0.00	   555.00	  6660.00
758	     0.00	   555.00	  6660.00
757	     0.00	   555.00	  6660.00
756	     0.00	   555.00	  6660.00
755	     0.00	   555.00	  6660.00
754	     0.00	   555.00	  6660.00
753	     0.00	   555.00	  6660.00
752	     0.00	   555.00	  6660.00
751	     0.00	   555.00	  6660.00
750	     0.00	   555.00	  6660.00
749	     0.00	   555.00	  6660.00
748	     0.00	   555.00	  6660.00
747	     0.00	   555.00	  6660.00
746	     0.00	   555.00	  6660.00
745	     0.00	   555.00	  6660.00
744	     0.00	   555.00	  6660.00
743	     0.00	   555.00	  6660.00
742	     0.00	   555.00	  6660.00
741	     0.00	   555.00	  6660.00
740	     0.00	   555.00	  6660.00
739	     0.00	   555.00	  6660.00
738	     0.00	   555.00	  6660.00
737	     0.00	   555.00	  6660.00
736	     0.00	   555.00	  6660.00
735	     0.00	   555.00	  6660.00
734	     0.00	   555.00	  6660.00
733	     0.00	   555.00	  6660.00
732	     0.00	   555.00	  6660.00
731	     0.00	   555.00	  6660.00
730	     0.00	   555.00	  6660.00
729	     0.00	   555.00	  6660.00
728	     0.00	   555.00	  6660.00
727	     0.00	   555.00	  6660.00
726	     0.00	   555.00	  6660.00
725	     0.00	   555.00	  6660.00
724	     0.00	   555.00	  6660.00
723	     0.00	   555.00	  6660.00
722	     0.00	   555.00	  6660.00
721	     0.00	   555.00	  6660.00
720	     0.00	   555.00	  6660.00
719	     0.00	   555.00	  6660.00
718	     0.00	   555.00	  6660.00
717	     0.00	   555.00	  6660.00
716	     0.00	   555.00	  6660.00
715	     0.00	   555.00	  6660.00
714	     0.00	   555.00	  6660.00
713	     0.00	   555.00	  6660.00
712	     0.00	   555.00	  6660.00
711	     0.00	   555.00	  6660.00
710	     0.00	   555.00	  6660.00
709	     0.00	   555.00	  6660.00
708	     0.00	   555.00	  6660.00
707	     0.00	   555.00	  6660.00
706	     0.00	   555.00	  6660.00
705	     0.00	   555.00	  6660.00
704	     0.00	   555.00	  6660.00
703	     0.00	   555.00	  6660.00
702	     0.00	   555.00	  6660.00
701	     0.00	   555.00	  6660.00
700	     0.00	   555.00	  6660.00
699	     0.00	   555.00	  6660.00
698	     0.00	   555.00	  6660.00
697	     0.00	   555.00	  6660.00
696	     0.00	   555.00	  6660.00
695	     0.00	   555.00	  6660.00
694	     0.00	   555.00	  6660.00
693	     0.00	   555.00	  6660.00
692	     0.00	   555.00	  6660.00
691	     0.00	   555.00	  6660.00
690	     0.00	   555.00	  6660.00
689	     0.00	   555.00	  6660.00
688	     0.00	   555.00	  6660.00
687	     0.00	   555.00	  6660.00
686	     0.00	   555.00	  6660.00
685	     0.00	   555.00	  6660.00
684	     0.00	   555.00	  6660.00
683	     0.00	   555.00	  6660.00
682	     0.00	   555.00	  6660.00
681	     0.00	   555.00	  6660.00
680	     0.00	   555.00	  6660.00
679	     0.00	   555.00	  6660.00
678	     0.00	   555.00	  6660.00
677	     0.00	   555.00	  6660.00
