Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	    96.00	     4.00	    96.00
11	    92.16	     7.84	   188.16
10	    88.47	    11.53	   276.63
9	    84.93	    15.07	   361.57
8	    81.54	    18.46	   443.11
7	    78.28	    21.72	   521.38
6	    75.14	    24.86	   596.53
5	    72.14	    27.86	   668.67
4	    69.25	    30.75	   737.92
3	    66.48	    33.52	   804.40
2	    63.82	    36.18	   868.23
1	    61.27	    38.73	   929.50
