Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	    92.31	     7.69	    92.31
23	    85.21	    14.79	   177.51
22	    78.65	    21.35	   256.17
21	    72.60	    27.40	   328.77
20	    67.02	    32.98	   395.79
19	    61.86	    38.14	   457.65
18	    57.10	    42.90	   514.75
17	    52.71	    47.29	   567.47
16	    48.66	    51.34	   616.12
15	    44.91	    55.09	   661.04
14	    41.46	    58.54	   702.49
13	    38.27	    61.73	   740.76
12	    35.33	    64.67	   776.09
11	    32.61	    67.39	   808.70
10	    30.10	    69.90	   838.80
9	    27.78	    72.22	   866.58
8	    25.65	    74.35	   892.23
7	    23.67	    76.33	   915.91
6	    21.85	    78.15	   937.76
5	    20.17	    79.83	   957.93
4	    18.62	    81.38	   976.55
3	    17.19	    82.81	   993.74
2	    15.87	    84.13	  1009.61
1	    14.65	    85.35	  1024.25
