Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	     0.92	     0.08	     0.92
23	     0.85	     0.15	     1.78
22	     0.79	     0.21	     2.56
21	     0.73	     0.27	     3.29
20	     0.67	     0.33	     3.96
19	     0.62	     0.38	     4.58
18	     0.57	     0.43	     5.15
17	     0.53	     0.47	     5.67
16	     0.49	     0.51	     6.16
15	     0.45	     0.55	     6.61
14	     0.41	     0.59	     7.02
13	     0.38	     0.62	     7.41
12	     0.35	     0.65	     7.76
11	     0.33	     0.67	     8.09
10	     0.30	     0.70	     8.39
9	     0.28	     0.72	     8.67
8	     0.26	     0.74	     8.92
7	     0.24	     0.76	     9.16
6	     0.22	     0.78	     9.38
5	     0.20	     0.80	     9.58
4	     0.19	     0.81	     9.77
3	     0.17	     0.83	     9.94
2	     0.16	     0.84	    10.10
1	     0.15	     0.85	    10.24
