Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
12	     0.99	     0.01	     0.99
11	     0.98	     0.02	     1.98
10	     0.98	     0.02	     2.95
9	     0.97	     0.03	     3.92
8	     0.96	     0.04	     4.88
7	     0.95	     0.05	     5.83
6	     0.94	     0.06	     6.77
5	     0.94	     0.06	     7.71
4	     0.93	     0.07	     8.64
3	     0.92	     0.08	     9.56
2	     0.91	     0.09	    10.47
1	     0.91	     0.09	    11.37
