Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	 92307.69	  7692.31	 92307.69
23	 85207.10	 14792.90	177514.79
22	 78652.71	 21347.29	256167.50
21	 72602.50	 27397.50	328770.00
20	 67017.69	 32982.31	395787.69
19	 61862.49	 38137.51	457650.18
18	 57103.83	 42896.17	514754.01
17	 52711.23	 47288.77	567465.24
16	 48656.52	 51343.48	616121.76
15	 44913.71	 55086.29	661035.47
14	 41458.81	 58541.19	702494.28
13	 38269.67	 61730.33	740763.95
12	 35325.85	 64674.15	776089.80
11	 32608.48	 67391.52	808698.28
10	 30100.13	 69899.87	838798.41
9	 27784.74	 72215.26	866583.15
8	 25647.45	 74352.55	892230.60
7	 23674.57	 76325.43	915905.17
6	 21853.45	 78146.55	937758.62
5	 20172.41	 79827.59	957931.03
4	 18620.69	 81379.31	976551.72
3	 17188.33	 82811.67	993740.05
2	 15866.15	 84133.85	1009606.20
1	 14645.68	 85354.32	1024251.88
