Please enter the monthly payment: Please enter the interest rate: Please enter the duration of the loan, in years: 
Month	Principal	 Interest	  Balance
-----	---------	---------	---------
24	100000.00	     0.00	100000.00
23	100000.00	     0.00	200000.00
22	100000.00	     0.00	300000.00
21	100000.00	     0.00	400000.00
20	100000.00	     0.00	500000.00
19	100000.00	     0.00	600000.00
18	100000.00	     0.00	700000.00
17	100000.00	     0.00	800000.00
16	100000.00	     0.00	900000.00
15	100000.00	     0.00	1000000.00
14	100000.00	     0.00	1100000.00
13	100000.00	     0.00	1200000.00
12	100000.00	     0.00	1300000.00
11	100000.00	     0.00	1400000.00
10	100000.00	     0.00	1500000.00
9	100000.00	     0.00	1600000.00
8	100000.00	     0.00	1700000.00
7	100000.00	     0.00	1800000.00
6	100000.00	     0.00	1900000.00
5	100000.00	     0.00	2000000.00
4	100000.00	     0.00	2100000.00
3	100000.00	     0.00	2200000.00
2	100000.00	     0.00	2300000.00
1	100000.00	     0.00	2400000.00
